CODE,CATEGORY,Group for analysis,Name in data file
ACB,Acropora Branching,Acropora Branching,ACB
ACE,Acropora Encrusting,Other corals,coral_other
ACD,Acropora Digitate,Other corals,coral_other
ACT,Acropora Tabular,Acropora Tabular,ACT
ACS,Acropora Submassive,Coral Submassive,coral_submassive
CB,Coral Branching,Coral Branching,CB
CE,Coral Encrusting,Other corals,coral_other
CF,Coral Foliose,Other corals,coral_other
CM,Coral Massive,Coral Massive,CM
CS,Coral Submassive,Coral Submassive,coral_submassive
CMR,Mushroom Coral,Other corals,coral_other
CHL,Blue Coral,Rare corals,coral_rare
CME,Fire Coral,Rare corals,coral_rare
CTU,Organ Pipe Coral,Rare corals,coral_rare
DCA,Dead Coral with Algae,Algal Assemblage,algal_assemblage
AA,Algal Assemblage,Algal Assemblage,algal_assemblage
CA,Coraline Algae,Rare corals,coral_rare
HA,Halimeda Algae,Halimeda Algae,HA
MA,Macroalgae,Macroalgae,MA
TA,Turf Algae,Turf Algae,TA
S,Sand,Soft sediment,unconsolidated
R,Rubble,Rock,rock
SI,Silt,Soft sediment,unconsolidated
DC,Dead Coral,Dead Coral,DC
RCK,Rock,Rock,rock
SC,Soft coral,Other corals,coral_other
SP,Sponge,Other habitats,other
ZO,Zoanthids,Other habitats,other
OT,Others,Others,OT
ACBD,Acropora Branching Dead,Coral Branching Dead,branching_dead
CBD,Coral Branching Dead,Coral Branching Dead,branching_dead
