"site","trans","code","cover","n.pts"
1,1,"ACB",4,75
1,1,"ACE",2,75
1,1,"ACD",1,75
1,1,"ACT",1,75
1,1,"ACS",12,75
1,1,"CB",2,75
1,1,"CE",0,75
1,1,"CF",1,75
1,1,"CM",9,75
1,1,"CS",2,75
1,1,"CMR",0,75
1,1,"CHL",0,75
1,1,"CME",0,75
1,1,"CTU",0,75
1,1,"DCA",0,75
1,1,"AA",0,75
1,1,"CA",0,75
1,1,"HA",0,75
1,1,"MA",0,75
1,1,"TA",0,75
1,1,"S",5,75
1,1,"R",29,75
1,1,"SI",0,75
1,1,"DC",6,75
1,1,"RCK",1,75
1,1,"SC",0,75
1,1,"SP",0,75
1,1,"ZO",0,75
1,1,"OT",0,75
1,1,"ACBD",0,75
1,1,"CBD",0,75
1,2,"ACB",1,75
1,2,"ACE",1,75
1,2,"ACD",0,75
1,2,"ACT",0,75
1,2,"ACS",16,75
1,2,"CB",0,75
1,2,"CE",3,75
1,2,"CF",3,75
1,2,"CM",16,75
1,2,"CS",4,75
1,2,"CMR",0,75
1,2,"CHL",0,75
1,2,"CME",0,75
1,2,"CTU",0,75
1,2,"DCA",0,75
1,2,"AA",0,75
1,2,"CA",0,75
1,2,"HA",0,75
1,2,"MA",0,75
1,2,"TA",0,75
1,2,"S",5,75
1,2,"R",16,75
1,2,"SI",7,75
1,2,"DC",2,75
1,2,"RCK",1,75
1,2,"SC",0,75
1,2,"SP",0,75
1,2,"ZO",0,75
1,2,"OT",0,75
1,2,"ACBD",0,75
1,2,"CBD",0,75
1,3,"ACB",0,75
1,3,"ACE",0,75
1,3,"ACD",1,75
1,3,"ACT",1,75
1,3,"ACS",10,75
1,3,"CB",1,75
1,3,"CE",0,75
1,3,"CF",0,75
1,3,"CM",15,75
1,3,"CS",6,75
1,3,"CMR",1,75
1,3,"CHL",0,75
1,3,"CME",0,75
1,3,"CTU",0,75
1,3,"DCA",0,75
1,3,"AA",0,75
1,3,"CA",0,75
1,3,"HA",0,75
1,3,"MA",0,75
1,3,"TA",0,75
1,3,"S",6,75
1,3,"R",24,75
1,3,"SI",0,75
1,3,"DC",8,75
1,3,"RCK",0,75
1,3,"SC",2,75
1,3,"SP",0,75
1,3,"ZO",0,75
1,3,"OT",0,75
1,3,"ACBD",0,75
1,3,"CBD",0,75
1,4,"ACB",2,75
1,4,"ACE",1,75
1,4,"ACD",0,75
1,4,"ACT",0,75
1,4,"ACS",7,75
1,4,"CB",2,75
1,4,"CE",0,75
1,4,"CF",0,75
1,4,"CM",7,75
1,4,"CS",2,75
1,4,"CMR",0,75
1,4,"CHL",0,75
1,4,"CME",0,75
1,4,"CTU",0,75
1,4,"DCA",0,75
1,4,"AA",0,75
1,4,"CA",0,75
1,4,"HA",0,75
1,4,"MA",0,75
1,4,"TA",0,75
1,4,"S",6,75
1,4,"R",30,75
1,4,"SI",0,75
1,4,"DC",16,75
1,4,"RCK",2,75
1,4,"SC",0,75
1,4,"SP",0,75
1,4,"ZO",0,75
1,4,"OT",0,75
1,4,"ACBD",0,75
1,4,"CBD",0,75
1,5,"ACB",7,75
1,5,"ACE",0,75
1,5,"ACD",0,75
1,5,"ACT",2,75
1,5,"ACS",17,75
1,5,"CB",4,75
1,5,"CE",1,75
1,5,"CF",0,75
1,5,"CM",7,75
1,5,"CS",0,75
1,5,"CMR",0,75
1,5,"CHL",0,75
1,5,"CME",0,75
1,5,"CTU",0,75
1,5,"DCA",0,75
1,5,"AA",0,75
1,5,"CA",0,75
1,5,"HA",0,75
1,5,"MA",0,75
1,5,"TA",0,75
1,5,"S",3,75
1,5,"R",22,75
1,5,"SI",0,75
1,5,"DC",6,75
1,5,"RCK",4,75
1,5,"SC",2,75
1,5,"SP",0,75
1,5,"ZO",0,75
1,5,"OT",0,75
1,5,"ACBD",0,75
1,5,"CBD",0,75
2,1,"ACB",14,75
2,1,"ACE",0,75
2,1,"ACD",0,75
2,1,"ACT",9,75
2,1,"ACS",25,75
2,1,"CB",23,75
2,1,"CE",1,75
2,1,"CF",3,75
2,1,"CM",0,75
2,1,"CS",0,75
2,1,"CMR",0,75
2,1,"CHL",0,75
2,1,"CME",0,75
2,1,"CTU",0,75
2,1,"DCA",0,75
2,1,"AA",0,75
2,1,"CA",0,75
2,1,"HA",0,75
2,1,"MA",0,75
2,1,"TA",0,75
2,1,"S",0,75
2,1,"R",0,75
2,1,"SI",0,75
2,1,"DC",0,75
2,1,"RCK",0,75
2,1,"SC",0,75
2,1,"SP",0,75
2,1,"ZO",0,75
2,1,"OT",0,75
2,1,"ACBD",0,75
2,1,"CBD",0,75
2,2,"ACB",5,75
2,2,"ACE",0,75
2,2,"ACD",0,75
2,2,"ACT",0,75
2,2,"ACS",16,75
2,2,"CB",25,75
2,2,"CE",0,75
2,2,"CF",6,75
2,2,"CM",12,75
2,2,"CS",0,75
2,2,"CMR",0,75
2,2,"CHL",0,75
2,2,"CME",0,75
2,2,"CTU",0,75
2,2,"DCA",0,75
2,2,"AA",0,75
2,2,"CA",0,75
2,2,"HA",0,75
2,2,"MA",0,75
2,2,"TA",0,75
2,2,"S",3,75
2,2,"R",0,75
2,2,"SI",0,75
2,2,"DC",0,75
2,2,"RCK",0,75
2,2,"SC",0,75
2,2,"SP",0,75
2,2,"ZO",0,75
2,2,"OT",0,75
2,2,"ACBD",1,75
2,2,"CBD",7,75
2,3,"ACB",4,75
2,3,"ACE",0,75
2,3,"ACD",0,75
2,3,"ACT",0,75
2,3,"ACS",17,75
2,3,"CB",27,75
2,3,"CE",0,75
2,3,"CF",7,75
2,3,"CM",9,75
2,3,"CS",0,75
2,3,"CMR",0,75
2,3,"CHL",0,75
2,3,"CME",0,75
2,3,"CTU",0,75
2,3,"DCA",0,75
2,3,"AA",0,75
2,3,"CA",0,75
2,3,"HA",0,75
2,3,"MA",0,75
2,3,"TA",0,75
2,3,"S",0,75
2,3,"R",0,75
2,3,"SI",0,75
2,3,"DC",0,75
2,3,"RCK",0,75
2,3,"SC",1,75
2,3,"SP",0,75
2,3,"ZO",0,75
2,3,"OT",0,75
2,3,"ACBD",0,75
2,3,"CBD",10,75
