CODE,CATEGORY
ACB,Acropora Branching
ACE,Acropora Encrusting
ACD,Acropora Digitate
ACT,Acropora Tabular
ACS,Acropora Submassive
CB,Coral Branching
CE,Coral Encrusting
CF,Coral Foliose
CM,Coral Massive
CS,Coral Submassive
CMR,Mushroom Coral
CHL,Blue Coral
CME,Fire Coral
CTU,Organ Pipe Coral
DCA,Dead Coral with Algae
AA,Algal Assemblage
CA,Coraline Algae
HA,Halimeda Algae
MA,Macroalgae
TA,Turf Algae
S,Sand
R,Rubble
SI,Silt
DC,Dead Coral
RCK,Rock
SC,Soft coral
SP,Sponge
ZO,Zoanthids
OT,Others
ACBD,Acropora Branching Dead
CBD,Coral Branching Dead
ACB,Acropora Branching
ACE,Acropora Encrusting
ACD,Acropora Digitate
ACT,Acropora Tabular
ACS,Acropora Submassive
CB,Coral Branching
CE,Coral Encrusting
CF,Coral Foliose
CM,Coral Massive
CS,Coral Submassive
CMR,Mushroom Coral
CHL,Blue Coral
CME,Fire Coral
CTU,Organ Pipe Coral
DCA,Dead Coral with Algae
AA,Algal Assemblage
CA,Coraline Algae
HA,Halimeda Algae
MA,Macroalgae
TA,Turf Algae
S,Sand
R,Rubble
SI,Silt
DC,Dead Coral
RCK,Rock
SC,Soft coral
SP,Sponge
ZO,Zoanthids
OT,Others
ACBD,Acropora Branching Dead
CBD,Coral Branching Dead
ACB,Acropora Branching
ACE,Acropora Encrusting
ACD,Acropora Digitate
ACT,Acropora Tabular
ACS,Acropora Submassive
CB,Coral Branching
CE,Coral Encrusting
CF,Coral Foliose
CM,Coral Massive
CS,Coral Submassive
CMR,Mushroom Coral
CHL,Blue Coral
CME,Fire Coral
CTU,Organ Pipe Coral
DCA,Dead Coral with Algae
AA,Algal Assemblage
CA,Coraline Algae
HA,Halimeda Algae
MA,Macroalgae
TA,Turf Algae
S,Sand
R,Rubble
SI,Silt
DC,Dead Coral
RCK,Rock
SC,Soft coral
SP,Sponge
ZO,Zoanthids
OT,Others
ACBD,Acropora Branching Dead
CBD,Coral Branching Dead
ACB,Acropora Branching
ACE,Acropora Encrusting
ACD,Acropora Digitate
ACT,Acropora Tabular
ACS,Acropora Submassive
CB,Coral Branching
CE,Coral Encrusting
CF,Coral Foliose
CM,Coral Massive
CS,Coral Submassive
CMR,Mushroom Coral
CHL,Blue Coral
CME,Fire Coral
CTU,Organ Pipe Coral
DCA,Dead Coral with Algae
AA,Algal Assemblage
CA,Coraline Algae
HA,Halimeda Algae
MA,Macroalgae
TA,Turf Algae
S,Sand
R,Rubble
SI,Silt
DC,Dead Coral
RCK,Rock
SC,Soft coral
SP,Sponge
ZO,Zoanthids
OT,Others
ACBD,Acropora Branching Dead
CBD,Coral Branching Dead
ACB,Acropora Branching
ACE,Acropora Encrusting
ACD,Acropora Digitate
ACT,Acropora Tabular
ACS,Acropora Submassive
CB,Coral Branching
CE,Coral Encrusting
CF,Coral Foliose
CM,Coral Massive
CS,Coral Submassive
CMR,Mushroom Coral
CHL,Blue Coral
CME,Fire Coral
CTU,Organ Pipe Coral
DCA,Dead Coral with Algae
AA,Algal Assemblage
CA,Coraline Algae
HA,Halimeda Algae
MA,Macroalgae
TA,Turf Algae
S,Sand
R,Rubble
SI,Silt
DC,Dead Coral
RCK,Rock
SC,Soft coral
SP,Sponge
ZO,Zoanthids
OT,Others
ACBD,Acropora Branching Dead
CBD,Coral Branching Dead
ACB,Acropora Branching
ACE,Acropora Encrusting
ACD,Acropora Digitate
ACT,Acropora Tabular
ACS,Acropora Submassive
CB,Coral Branching
CE,Coral Encrusting
CF,Coral Foliose
CM,Coral Massive
CS,Coral Submassive
CMR,Mushroom Coral
CHL,Blue Coral
CME,Fire Coral
CTU,Organ Pipe Coral
DCA,Dead Coral with Algae
AA,Algal Assemblage
CA,Coraline Algae
HA,Halimeda Algae
MA,Macroalgae
TA,Turf Algae
S,Sand
R,Rubble
SI,Silt
DC,Dead Coral
RCK,Rock
SC,Soft coral
SP,Sponge
ZO,Zoanthids
OT,Others
ACBD,Acropora Branching Dead
CBD,Coral Branching Dead
ACB,Acropora Branching
ACE,Acropora Encrusting
ACD,Acropora Digitate
ACT,Acropora Tabular
ACS,Acropora Submassive
CB,Coral Branching
CE,Coral Encrusting
CF,Coral Foliose
CM,Coral Massive
CS,Coral Submassive
CMR,Mushroom Coral
CHL,Blue Coral
CME,Fire Coral
CTU,Organ Pipe Coral
DCA,Dead Coral with Algae
AA,Algal Assemblage
CA,Coraline Algae
HA,Halimeda Algae
MA,Macroalgae
TA,Turf Algae
S,Sand
R,Rubble
SI,Silt
DC,Dead Coral
RCK,Rock
SC,Soft coral
SP,Sponge
ZO,Zoanthids
OT,Others
ACBD,Acropora Branching Dead
CBD,Coral Branching Dead
ACB,Acropora Branching
ACE,Acropora Encrusting
ACD,Acropora Digitate
ACT,Acropora Tabular
ACS,Acropora Submassive
CB,Coral Branching
CE,Coral Encrusting
CF,Coral Foliose
CM,Coral Massive
CS,Coral Submassive
