,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49
1,56885.24671,56695.31814,49660.91122,50570.17095,61068.40472,58377.08437,16345.28137,18536.01297,15984.61254,13483.95237,22037.9134,17146.816,3818.893937,15215.57575,26940.18828,26242.17746,16180.0541,22200.64284,11227.70778,8953.006486,589.7056275,7363.523805,62887.07571,67158.46748,70639.19908,67182.58869,55593.32896,59300.01943,62129.79649,72787.87007,70866.77267,65014.48912,69093.9718,70574.63197,68869.41336,68211.54539,66500.29648,57788.47614,59768.47614,65300.38523,67432.88307,67160.01943,69598.54757,69805.7467,63083.40038,61802.08004,59885.61251,59281.34844,57162.52593
2,54919.95667,54730.0281,47695.62118,48604.88091,59103.11468,56411.79433,13512.12337,15702.85497,14019.3225,11518.66233,20072.62336,15181.52596,499.7056275,12382.41774,24974.89824,24276.88742,14214.76406,19367.48484,9262.417741,6119.848481,3711.320344,3200.071427,60921.78567,65193.17744,68673.90904,65217.29865,53628.03892,57334.72939,60164.50645,70822.58003,68901.48263,63049.19908,67128.68176,68609.34193,66904.12332,66246.25535,64535.00644,55823.1861,57803.1861,63335.09519,65467.59303,65194.72939,67633.25753,67840.45666,61118.11035,59836.79,57920.32247,57316.0584,55197.23589
3,51090.55408,50900.62551,43866.21859,44775.47832,55273.71209,52582.39174,7041.686143,9232.417741,9841.463197,7340.803025,16193.51514,11003.66666,7139.848481,5911.980515,21095.79003,20397.77921,10335.65584,12897.04761,6445.950212,1446.396103,9021.168825,4123.158005,57092.38308,61363.77485,64844.50645,61387.89606,49798.63633,53505.3268,56335.10386,66993.17744,65072.08004,59219.79649,63299.27917,64779.93934,63074.72073,62416.85276,60705.60385,51993.78352,53973.78352,59505.6926,61638.19044,61365.3268,63803.85494,64011.05407,57288.70776,56007.38741,54090.91988,53486.65581,51367.8333
4,50276.44153,50086.51296,43052.10604,43961.36577,54459.59954,51768.2792,4265.878785,6456.610383,7659.625535,9384.549776,15379.40259,9715.067094,10258.08225,3136.173157,20281.67748,19583.66666,11112.12337,10121.24025,9159.991334,4230.731599,12139.40259,7241.39177,56278.27053,60549.6623,64030.3939,60573.78352,48984.52378,52691.21425,55520.99131,66179.06489,64257.96749,58405.68394,62485.16662,63965.82679,62260.60818,61602.74021,59891.4913,51179.67097,53159.67097,58691.58005,60824.07789,60551.21425,62989.74239,63196.94152,56474.59521,55193.27486,53276.80733,52672.54326,50553.72075
5,48348.79651,48158.86794,41124.46102,42033.72075,52531.95452,49840.63418,2338.233765,4528.965363,5731.980515,7456.904756,13451.75757,7787.422074,11916.61038,1173.380951,18354.03246,17656.02164,9184.478349,8193.595231,10591.829,5889.259736,13797.93073,8899.919908,54350.62551,58622.01728,62102.74888,58646.1385,47056.87876,50763.56923,53593.34629,64251.41987,62330.32247,56478.03892,60557.5216,62038.18177,60332.96316,59675.09519,57963.84628,49252.02595,51232.02595,56763.93503,58896.43287,58623.56923,61062.09737,61269.2965,54546.95019,53265.62984,51349.16231,50744.89824,48626.07573
6,47966.95885,47777.03028,40742.62336,41651.88309,52150.11686,49458.79651,4201.980515,1658.528137,5736.761902,7215.655839,13069.91991,7405.584412,17536.23592,4809.259736,17972.1948,17274.18398,8802.640687,2923.675324,10350.58008,11508.88527,19417.55626,14519.54544,53968.78785,58240.17962,61720.91122,58264.30083,46675.0411,50381.73157,53211.50863,63869.58221,61948.48481,56096.20126,60175.68394,61656.34411,59951.1255,59293.25753,57582.00861,48870.18828,50850.18828,56382.09737,58514.59521,58241.73157,60680.25971,60887.45884,54165.11252,52883.79218,50967.32465,50363.06058,48244.23807
7,52143.56923,51953.64066,44919.23374,45828.49348,56326.72724,53635.4069,8730.062761,6520.508653,9913.372286,11392.26622,17246.53029,11582.1948,22398.21643,9671.240251,22148.80518,21450.79436,12979.25107,2738.893937,14527.19046,16370.86579,24279.53678,19381.52596,58145.39823,62416.79,65897.5216,62440.91122,50851.65148,54558.34196,57388.11901,68046.19259,66125.09519,60272.81164,64352.29432,65832.95449,64127.73588,63469.86791,61758.619,53046.79867,55026.79867,60558.70776,62691.20559,62418.34196,64856.87009,65064.06922,58341.72291,57060.40256,55143.93503,54539.67097,52420.84846
8,4438.599564,4628.528137,11680.50865,17148.51947,404.5584412,2946.761902,50449.16231,51496.14716,48825.26404,48188.35062,40230.3398,44999.974,59017.01295,51787.98482,40016.07573,37274.53244,45228.64499,53931.14283,50201.58005,54107.61036,60751.71424,57467.45884,25658.80518,21834.76406,21206.89609,21416.01297,28847.1818,29526.52163,26448.21643,37093.71209,35115.84412,39726.95019,38459.88525,37024.66663,39512.9004,39936.28135,41107.53027,31042.32898,28759.83115,23245.49565,21411.7489,13185.50432,15624.03246,19395.3528,25444.90691,7827.564928,5911.097398,5306.833329,4853.452378
9,3648.305192,2663.086579,5398.082246,10866.09307,7036.173157,4916.46753,44166.73591,45213.72075,42542.83764,41905.92421,33947.9134,38717.5476,52734.58654,45505.55842,33733.64933,30992.10604,38946.21859,47648.71642,43919.15365,47825.18395,54469.28784,51185.03243,26296.96752,22472.92639,21845.05843,22054.17531,22564.75539,26271.44587,27086.37877,37731.87443,35754.00646,33444.52378,37524.00646,37662.82897,37299.44802,36641.58005,34930.33114,24759.90258,26739.90258,23883.65799,22049.91124,13823.66666,16262.1948,20033.51514,26083.06925,8465.727266,6549.259736,5944.995667,3925.584412
10,4698.82251,4111.248917,3186.761902,8654.772721,8484.335495,5966.984848,41955.41556,43002.40041,40331.51729,39694.60387,31736.59305,36506.22725,50523.2662,43294.23807,31522.32898,28780.78569,36734.89824,45437.39608,41707.8333,45613.86361,52257.96749,48973.71209,27347.48484,23523.44371,22895.57575,23104.69263,20353.43505,24060.12552,26889.90258,37604.74672,35626.87876,31233.20344,35312.68612,36793.34629,35088.12768,34430.25971,32719.01079,22548.58223,24528.58223,24934.17531,23100.42856,14874.18398,17312.71211,21084.03246,27133.58657,9516.244584,7599.777054,6995.512986,4976.101731
11,12427.4935,12237.56493,5203.158005,547.2792206,16610.65151,13919.33116,39413.06058,40460.04543,37789.16231,37152.24889,29194.23807,33963.87227,47980.91122,40751.88309,28979.974,26238.43071,34192.54326,42895.0411,39165.47832,43071.50863,49715.61251,46431.35711,25622.47184,29893.86361,30723.65799,29917.98482,18328.72509,22035.41556,24865.19262,35580.03676,33602.1688,29208.49348,33287.97616,34768.63633,33063.41772,32405.54975,30694.30083,20523.87227,22503.87227,28035.78136,30168.2792,22702.26622,25140.79436,28912.1147,25818.79651,17344.32683,15427.8593,14823.59523,12704.77272
12,10981.98052,10792.05194,3757.64502,2572.203461,15165.13852,12473.81818,37569.90258,38616.88742,35946.00431,35309.09089,27351.08007,32120.71427,46137.75321,38908.72509,27136.816,24395.27271,32349.38526,41051.88309,37322.32032,41228.35062,47872.45451,44588.1991,23779.31383,28050.7056,29278.14501,28074.82682,16485.56708,20192.25756,23022.03461,33736.87876,31759.01079,27365.33547,31444.81815,32925.47832,31220.25971,30562.39174,28851.14283,18680.71427,20660.71427,26192.62336,28325.12119,21256.75324,23695.28137,27466.60172,23975.63851,15898.81384,13982.34631,13378.08225,11259.25974
13,11639.84848,11449.91991,4415.512986,4976.833329,15823.00649,13131.68614,35562.91773,36609.90258,33939.01946,33302.10604,25344.09522,30113.72942,44130.76836,36901.74024,25129.83115,22388.28786,30342.40041,39044.89824,35315.33547,39221.36577,45865.46966,42581.21425,22018.35929,26289.75106,29770.48266,26313.87227,14724.61254,18431.30301,21261.08007,31975.92421,29998.05625,25358.35062,29437.8333,30918.49348,29213.27486,28555.4069,26844.15798,16919.75972,18899.75972,24431.66881,26564.16665,21914.6212,24353.14934,28124.46968,22214.68396,16556.68181,14640.21428,14035.95021,11917.1277
14,20687.11904,20497.19046,13462.78354,14372.04328,24870.27704,22178.9567,25553.14934,26600.13419,23929.25107,23292.33765,15334.32683,20103.96103,34120.99997,26891.97185,15120.06276,12378.51947,20332.63202,29035.12986,25305.56708,29211.59739,35855.70127,32571.44587,26688.94803,30960.3398,34441.0714,30984.46102,19395.20128,23101.89176,25931.66881,36589.74239,34668.64499,28816.36144,32895.84412,34376.50429,32671.28568,32013.41772,30302.1688,21590.34847,23570.34847,29102.25756,31234.75539,30961.89176,33400.41989,33607.61902,26885.27271,25603.95237,23687.48484,23083.22077,20964.39826
15,21010.72293,20820.79436,13786.38744,14695.64717,25193.88094,22502.56059,25827.04761,26874.03246,24203.14934,23566.23592,15608.2251,20377.8593,34394.89824,27165.87012,15393.96103,12652.41774,20606.53029,29309.02812,25579.46535,29485.49565,36129.59954,32845.34414,27012.55193,31283.9437,34764.6753,31308.06491,19718.80518,23425.49565,26255.27271,36913.34629,34992.24889,29139.96534,33219.44802,34700.10819,32994.88958,32337.02161,30625.7727,21913.95237,23893.95237,29425.86145,31558.35929,31285.49565,33724.02379,33931.22292,27208.87661,25927.55626,24011.08873,23406.82466,21288.00215
16,23730.79436,23540.86579,16506.45886,17415.7186,27913.95237,25222.63202,24924.54978,25971.53462,23300.65151,22663.73808,14705.72727,19475.36147,33492.40041,26263.37229,14491.4632,11749.91991,19704.03246,28406.53029,24676.96752,28582.99782,35227.10171,31942.8463,29732.62336,34004.01513,37484.74672,34028.13634,22438.87661,26145.56708,28975.34414,39633.41772,37712.32032,31860.03676,35939.51945,37420.17962,35714.96101,35057.09304,33345.84412,24634.02379,26614.02379,32145.93288,34278.43071,34005.56708,36444.09522,36651.29435,29928.94803,28647.62769,26731.16016,26126.89609,24008.07358
17,26745.20128,26555.27271,19520.86579,20430.12552,30928.35929,28237.03894,20530.87445,21577.8593,18906.97618,18270.06276,10312.05194,15081.68614,29098.72509,21869.69696,10097.78787,7356.244584,15310.35713,24012.85497,20283.29219,24189.3225,30833.42638,27549.17098,32747.03028,37018.42205,40499.15365,37042.54326,25453.28353,29159.974,31989.75106,42647.82464,40726.72724,34874.44369,38953.92637,40434.58654,38729.36793,38071.49996,36360.25104,27648.43071,29628.43071,35160.3398,37292.83764,37019.974,39458.50214,39665.70127,32943.35495,31662.03461,29745.56708,29141.30301,27022.4805
18,27261.59739,27071.66881,20037.26189,20946.52163,31444.75539,28753.43505,20589.62554,21636.61038,18965.72727,18328.81384,10370.80303,15140.43723,29157.47617,21928.44805,10156.53896,7414.995667,15369.10822,24071.60605,20342.04328,24248.07358,30892.17746,27607.92206,33263.42638,37534.81815,41015.54975,37558.93937,25969.67963,29676.37011,32506.14716,43164.22074,41243.12334,35390.83979,39470.32247,40950.98264,39245.76403,38587.89606,36876.64715,28164.82682,30144.82682,35676.73591,37809.23374,37536.37011,39974.89824,40182.09737,33459.75106,32178.43071,30261.96318,29657.69912,27538.87661
