"site","reeftype","Reef.ID","cover","pres.topa","pres.habili","secchi","flow","logged","mindist","coordx","coordy"
1,"Lagoon exposed fringing - reef flat",1,0.0613333333333333,5,8,12,"Strong","Not logged",3648.305192,436241.287673984,9163860.89820144
2,"Lagoon exposed fringing - reef flat",2,0.464,1,0,9.5,"Strong","Logged",2663.086579,435632.544142236,9162877.25139489
3,"Lagoon exposed fringing - reef flat",3,0.645333333333333,6,3,10.2,"Strong","Logged",3186.761902,429647.469734477,9164634.42710541
4,"Lagoon exposed fringing - reef flat",4,0.128,0,0,4.7,"Mild","Logged",547.2792206,429325.392249484,9161596.97380206
5,"Lagoon exposed fringing - reef flat",5,0.0133333333333333,0,0,5,"Mild","Logged",404.5584412,439682.133886024,9162095.36823885
6,"Lagoon exposed fringing - reef flat",6,0.552,3,2,10.8,"Strong","Logged",2946.761902,437608.486563495,9163590.72965074
7,"Lagoon exposed fringing - reef flat",7,0.130666666666667,0,0,6.1,"Mild","Logged",2338.233765,448857.21912658,9154591.74092905
8,"Lagoon exposed fringing - reef flat",8,0.008,0,0,7.2,"Mild","Logged",1658.528137,447557.41600184,9157066.72110497
9,"Lagoon exposed fringing - reef flat",9,0.184,0,0,6,"Mild","Logged",3679.554108,446962.153985791,9152788.74267314
10,"Lagoon exposed fringing - reef flat",10,0.28,0,0,7,"Mild","Logged",3903.74675,446047.659415398,9151977.35030814
11,"Lagoon exposed fringing - reef flat",11,0.0453333333333333,0,1,10,"Mild","Logged",1354.264069,438825.093356883,9155991.66138132
12,"Intra-lagoon patch-reef complex - subtidal reef flat",12,0.16,0,0,9.5,"Mild","Logged",874.2640687,443982.049604328,9154677.99946922
13,"Lagoon exposed fringing - reef flat",13,0.112,0,0,7.5,"Mild","Logged",499.7056275,454121.647843025,9145456.60956979
14,"Lagoon exposed fringing - reef flat",14,0.00266666666666667,0,0,4,"Mild","Logged",1173.380951,450005.965562295,9155094.87577888
15,"Lagoon exposed fringing - reef flat",15,0.072,0,1,8.8,"Mild","Logged",2567.056275,435560.753661755,9158845.20678562
16,"Lagoon exposed fringing - reef flat",16,0.0293333333333333,0,0,14.5,"Mild","Logged",671.5432893,434767.850084654,9156277.03096399
17,"Intra-lagoon patch-reef complex - subtidal reef flat",17,0.213333333333333,0,0,6.4,"Mild","Logged",3601.614716,443074.164048807,9152044.62241741
18,"Lagoon exposed fringing - reef flat",18,0.0293333333333333,1,0,6.2,"Mild","Logged",2738.893937,444209.728315415,9158041.31901812
19,"Lagoon exposed fringing - reef flat",19,0.096,0,0,10,"Mild","Logged",6445.950212,446904.531906647,9149101.70875298
20,"Lagoon exposed fringing - reef flat",20,0.0213333333333333,0,0,10.3,"Mild","Logged",1446.396103,450993.234592275,9149652.26697071
21,"Lagoon exposed fringing - reef flat",21,0.269333333333333,0,0,8,"Mild","Logged",589.7056275,454932.061177582,9143259.60025787
22,"Lagoon exposed fringing - reef flat",22,0.096,0,0,9.3,"Mild","Logged",3200.071427,453493.322183334,9148569.1661805
23,"Lagoon exposed fringing - reef flat",23,0.376,7,26,11,"Mild","Not logged",22018.35929,422184.513951921,9174692.4952738
24,"Lagoon exposed fringing - reef flat",24,0.192,1,3,14,"Mild","Not logged",21834.76406,425421.452391608,9172215.56937876
25,"Lagoon exposed fringing - reef flat",25,0.168,15,7,8,"Mild","Not logged",21206.89609,428228.83019995,9170498.44591138
26,"Lagoon exposed fringing - reef flat",26,0.16,0,2,13,"Mild","Not logged",21416.01297,426189.033221311,9173920.41830265
27,"Lagoon exposed fringing - reef flat",27,0.653333333333333,0,1,13.7,"Mild","Not logged",14724.61254,416912.166532905,9174677.143504
