CODE,CATEGORY,Group for analysis
ACB,Acropora Branching,Acropora Branching
ACE,Acropora Encrusting,Acropora Encrusting
ACD,Acropora Digitate,Other corals
ACT,Acropora Tabular,Acropora Tabular
ACS,Acropora Submassive,Coral Submassive
CB,Coral Branching,Coral Branching
CE,Coral Encrusting,Other corals
CF,Coral Foliose,Other corals
CM,Coral Massive,Coral Massive
CS,Coral Submassive,Coral Submassive
CMR,Mushroom Coral,Other corals
CHL,Blue Coral,Rare corals
CME,Fire Coral,Rare corals
CTU,Organ Pipe Coral,Rare corals
DCA,Dead Coral with Algae,Algal Assemblage
AA,Algal Assemblage,Algal Assemblage
CA,Coraline Algae,Rare corals
HA,Halimeda Algae,Halimeda Algae
MA,Macroalgae,Macroalgae
TA,Turf Algae,Turf Algae
S,Sand,Soft sediment
R,Rubble,Rock
SI,Silt,Soft sediment
DC,Dead Coral,Dead Coral
RCK,Rock,Rock
SC,Soft coral,Other corals
SP,Sponge,Other
ZO,Zoanthids,Other
OT,Others,Other
ACBD,Acropora Branching Dead,Coral Branching Dead
CBD,Coral Branching Dead,Coral Branching Dead
